TID,CID,CTID,SourceID,id,number,title,length,artist,album,year,language
5161,14,2,2,MBox1481035-HH,21,Gerard Alessandrini - Amneris Intro: Every Story Is a Love Story / Heather Headley / It's Cheesy: Easy as Life,219,,Forbidden Broadway 2001: A Spoof Odyssey (2001 original off-Broadway cast),01,English
5162,2496,2,1,WoM26520547,010,27 Different Ways (Not So Rich and Famous),00:00,Kemo the Blaxican,Not So Rich and Famous,null,
5163,2686,1,1,WoM6966131,009,La Cumbia Del Pepino (D. Jack - J. Gonzalez) (His Thinking Congas),06:11,,His Thinking Congas,1998,
5164,9094,2,2,MBox2406111-HH,15,"Johann Sebastian Bach - Kantate, BWV 178 ""Wo Gott der Herr nicht bei uns hÃ¤lt"": IV. Choral (Tenor) ""Sie stellen uns wie Ketzern nach""",151,,"Die Kompletten Werke, Volume 14: Kantaten, BWV 176-187 (feat. conductor: Helmuth Rilling)",04,German
5165,2687,1,1,WoM24027246,016,"Spirit of Death (Two Steps From Hell, Volume One)",01:15,Nick Phoenix & Thomas J. Bergersen,"Two Steps From Hell, Volume One",2006,
5166,2688,1,3,4028845MB-01,150,Jazz Spot 3 - Detective Jazz Tijuana Light Activity,0.05,William Loose & Emil Cadkin,,,English
5167,8966,4,5,946482,7,Hidden Propolsion Unit (Element 115 mix),101293,Ponga,The Remixes,1999,English
5168,2689,1,3,5861512MB-01,1,Traktorhandel - Bygderock med telehiv,2.883,E-76,,'92,Norwegian Nynorsk
5169,2690,1,1,WoM7100121,O11,Valmis (EtsijÃ¤t),03:57,Kauko RÃ¶yhkÃ¤,EtsijÃ¤t,2002,
5170,2691,1,4,139676-A046,10,010-Half-Caste Woman,3m 23sec,Noel Coward,I Went to a Marvellous Party: His 45 Finest (2010),null,Eng.
5171,2228,2,5,7000053,1,Kontrabas,270000,Blue CafÃ©,"Smooth Jazz Ever, Volume 3 (4)",2006,English
5172,462,2,1,WoM19645249,003,First Flight (Cloud OST),03:58,Vincent Diamannte,Cloud OST,2005,
5173,8444,4,3,18042114MB-01,1,Something About - The Justice,0.683,Crisis Car,,,English
5174,2839,3,5,14372939,8,"Metamjorphosen, Konzert fÃ¼r Violine und Orchester Nr. 2: V. Scherzando",307000,Krzysztof Penderecki,Back to the Future: Selected 20th-Century Violin Works,2000,English
5175,2692,1,3,57343017MB-01,1,All the Time in the World - Frayed Knots,6.401,Luxurious Bags,,'94,English
5176,4929,3,5,12876351,8,Bulgarska oro,343000,ÐšÐ¾Ñ‡Ð°Ð½Ð¸ ÐžÑ€ÐºÐµÑÑ‚Ð°Ñ€,Tsiganes : Le chant des Roma...,2000,[Multiple languages]
5177,2693,1,1,WoM11476915,003,"The Well-Tempered Clavier, Book II: Prelude & Fugue No. 15 in G major, BWV 884 (The Well-Tempered Clavier, Books I & II (feat. organ: Louis Thiry))",03:23,Johann Sebastian Bach,"The Well-Tempered Clavier, Books I & II (feat. organ: Louis Thiry)",1973,
5178,3388,3,4,unk.,4,004-Keep on Singing,3m 5sec,Helen Reddy,The Best of (disc 1) (unknown),null,Eng.
5179,2694,1,4,223068-A070,8,008-Star of the County Down,4m 2sec,unk.,Live at the Loft (unknown),null,Eng.
5180,2695,1,5,10468937,7,Just Touching...,278320,Rapoon,The Bush Prophet,2010,English
5181,8731,2,4,151014-A032,5,005-Avec le temps,4m 32sec,Dalida,"Talents, Vol. II (2009)",null,Fre.
5182,2696,1,4,162452-A010,9,009-Honey I Need,2m 2sec,The Pretty Things,The Spirit of the 60s: 1965: Still Swinging (1992),null,En.
5183,2697,1,5,3259868,3,Plain White Milk,,Smartbomb,...Here Comes the Slapback,,
5184,8006,2,3,825009MB-01,11,I'll Tell You - Autumn o f Their Years,2.755,Beau Brummels,,,English
5185,5969,2,3,5642487MB-01,43,Style Talks (g) (link) - Swing of the City,0.15,Keith Mansfield,,,English
5186,8837,4,3,21762622MB-01,1,"At My Window Sad and Lonely - 2006-03-05: Memorial Hall, University of North Carolina, Chapel Hill, NC, USA",4.217,Wilco,,,English
5187,2698,1,1,WoM12780024,012,Voy a apostar por tÃ­ (Histeria),03:35,Tino Casal,Histeria,,
5188,2699,1,2,MBox38641315-HH,5,Avskum - The Massacre in Fallujah,98,,Uppror underifrÃ¥n,,null
5189,1909,3,2,MBox323781-HH,1,"Ludwig van Beethoven - Piano Sonata No. 5 in C minor, Op. 10 No. 1: I. Molto allegro e con brio",335,,The Complete Sonatas,93,English
5190,2700,1,2,MBox10377515-HH,13,Mendoza Dance Parti - Hip Steps (live version),316,,Speedy Chicken,, English
5191,2701,1,5,5588119,7,Una Mas,302760,T.S. Monk,aGzebo Blend: Cool Notes of Summer,1995,English
5192,4479,3,1,WoM28336031,006,ProgRo_5 (InsectS) (ZolloZkunstStoFF),00:00,ZolloZ,ZolloZkunstStoFF,2013,
5193,2702,1,4,109017-A03,3,003-Strider's World,4m 30sec,Omar-S,Fabric 45: Omar S: Detroit (2009),null,Eng.
5194,2703,1,5,6583900,1,Strange,,John Spring,Dispo Dancer,2003,English
5195,5734,2,2,MBox23797125-HH,2,Joep Leerssen - Hoofdstuk 01-01: Inleiding: volk en vrijheid,308,,Vaderlandsliefde: hoorcollege over nationalisme en nationaal gevoel in Europa,08,Dutch
5196,500,4,3,754772MB-01,6,Death Approaches - Room Service,3.613,Panzerchrist,,'03,English
5197,2704,1,3,2734905MB-01,2,Everlasting Snow - 1st X'mas,4.517,dream,,'03,Japanese
5198,2705,1,3,1163137MB-01,10,Welcome to My Nightmare - Metal Warriors,5.721,Novon,,'04,
5199,2706,1,1,WoM3110029,007,"All This Is That (Carl and the Passions: ""So Tough"")",04:04,Beach Boys,"Carl and the Passions: ""So Tough""",1991,
5200,169,2,2,MBox10401125-HH,14,Agoraphobic Nosebleed - Gorrendously Mutilated,52,,"Bestial Machinery Discography, Volume 1",05,English
5201,2707,1,4,177058-A070,B3,0B3-Still Alive & Well,3m 42sec,Johnny Winter,Still Alive and Well (1973),null,Eng.
5202,3077,3,3,63598421MB-01,6,The Eyes Of Texas Are Upon You / The Yellow Rose of Texas / Deep In The Heart Of Texas / Dixie - The Right Stuff,2.834,Bill Conti,,'09,English
5203,2454,2,1,WoM14445938,001,Funeral March (original),05:59,Kosh,Funeral March,2006,
5204,2708,1,2,MBox22116621-HH,4,Naomi - We Are So Beautiful (Bastard mix),383,,Everyone Loves You,02,English
5205,2709,1,3,22379013MB-01,2,Summer: Swimming Song - Year,2.783,Maddy Prior,,'93,English
5206,2009,4,5,10608936,216,Changye Something,15000,Mick Kiely,Lifestyle Smile,2009,English
5207,8025,2,1,WoM3155249,011,City Lights (Tribute to Tradition),02:43,Rick TreviÃ±o,Tribute to Tradition,1998,
5208,2710,1,2,MBox37831023-HH,,Giorgio Faletti - L'apprendista stregone,243,,Da quando a ora,13,Italian
5209,1438,4,5,2688725,14,Labeled,174826,Sworn Enemy,JÃ¤Ã¤gerMusic: Rarities 2004,2004,English
5210,2711,1,3,2003316MB-01,10,Path of 1000 Miles (feat. Buckethhead) - Audio Men,2.883,Double E,,'00,English
5211,8212,2,5,16507531,8,Chanson Louis XIII and Pavane,222200,Fritz Kreisler,Mercury Living Presence: The Collector's Edition (CDs 31â€“40),,
5212,3095,3,1,WoM2748571,019,Stupid Hoe (Pink Friday: Roman Reloaded: The Re-Up),03:16,Nicki Minaj,Pink Friday: Roman Reloaded: The Re-Up,2012,
5213,2712,1,3,2150813MB-01,9,Maybe - Stoney End,3.15,Barbra Streisand,null,,English
5214,2713,1,4,116367-A07,10,010-Esel,5m 10sec,Punto Final,Una selva de ambiente stereo (2003),null,Spa.
5215,2714,1,2,MBox41874721-HH,3,"ÐÐ»ÐµÐºÑÐ°Ð½Ð´Ñ€ Ð¢Ð¸Ñ…Ð¾Ð½Ð¾Ð²Ð¸Ñ‡ Ð“Ñ€ÐµÑ‡Ð°Ð½Ð¸Ð½Ð¾Ð² - Symphony no. 2, op. 27 ""Pastoral"": III. Scherzo: Vivo assai",443,,"Mass ""Et in terra pax"" / Symphony no. 2",96,English
5216,8153,2,1,WoM10462538,006,Turning Point (As the Moon Draws Water),03:34,Inch-time,As the Moon Draws Water,2006,
5217,2715,1,2,MBox26130131-HH,6,Steve Hackett - The Journey,225,,Hungarian Horizons: Live in Budapest,,English
5218,4879,2,3,1488708MB-01,3,Book of Brilliant Things - Summertime in Glasgow,5.3 5,Simple Minds,,,English
5219,8872,4,2,MBox596776-HH,9,Three Dog Night - The Show Must Go On,208,,The Collection,,English
5220,2716,1,5,9112481,5,"Concerto No. 3 in G major, BWV 1048: II. Adagio",56900,Johann Sebastian Bach,"J.S. Bach :Brandenburg Concertos Nos. 2, 3, 5, 6",,English
5221,2717,1,4,20171-A070,6,006-Sloow Cookin',3m 50sec,Bobbie Gentry,Bobbie Gentry Greatest Hits (unknown),null,Eng.
5222,2718,1,1,WoM1009106,016,"Better Man (1994-04-12: Orpheum Theater, Boston, MA, USA)",00:00,Pearl Jam,"1994-04-12: Orpheum Theater, Boston, MA, USA",,
5223,2951,2,5,2183775,4,Go Away,168893,Go Betty Go,Worst Ene my,2004,English
5224,9627,2,3,261621MB-01,17,BruyÃ¨res - Å’uvres pour piano,2.261,Claude Debussy,,'87,French
5225,2719,1,5,14380225,4,No One,240000,MMOTHS,Diaries,,English
5226,2405,2,5,1415162,21,JJava,109840,Dingle,Red Dog,,
5227,2720,1,1,WoM7550714,O08,Der Freund von LÃ¼Ã¼l (Rockâ€™nâ€™Roll 13),01:17,17 Hippies,RoZckâ€™nâ€™Roll 13,2010,
5228,2627,5,5,6539058,1,Rakkautta huhtikuussa (April love),156253,Hannu Hovi,Kuolemattomat levytykset,2007,Finnish
5229,2721,1,1,WoM1979819,008,Shyam Kalyan (Snakes and Ladders),06:28,Australian Bebop Ragas,Snakes and Ladders,,
5230,2722,1,1,WoM23755422,005,"Symphony No. 40 in G minor, K. 550: I. Molto allegro (The Great Symphonies, Volume 1)",07:31,Wolfgang Amadeus Mozart,"The Great Smphonies, Volume 1",,
5231,2723,1,5,4701096,4,Sonata of Life: The New Life,194320,Jim Stone,The Minstrel,,English
5232,4319,3,5,8738318,9,The Last Time I Left,455480,Soul Whirling Somewhere,"Sonic Seducer: Cold Hands Seduction, Volume 34",2004,English
5233,2724,1,2,MBox29406015-HH,16,Felix da Housecat - Silver Screen Shower Scene (Thin White Duke remix),356,,Global Underground 10,06,English
5234,2725,1,4,65440-A068,1,002-Only,4m 14sec,Purple Penguin,Ultimate Chill Out (2002),null,Eng.
5235,7786,2,2,MBox20791620-HH,9,AndrÃ© Heller - Mir trÃ¤umte,259,,Bestheller 1967-2007,,German
5236,2726,1,5,4644116,9,Anomia,541000,Anderegg,Anomia,2003,English
5237,8610,2,2,MBox41416423-HH,15,Johanna Kurkela - Kuule minun Ã¤Ã¤neni,231,,"TÃ¤htisarja, 30 suosikkia: TilkkutÃ¤kki",12,Finnish
5238,8661,2,1,WoM18788316,032,"Belle Vie (full mix) (Solo Strings, Small Ensemble)",02:35,Paul Mottram,null,2002,
5239,2727,1,5,8373921,2,Esto es lo que traigo,,Cerroman,"One Life, todo por un sueÃ±o",2009,Spnaish
5240,2728,1,5,10973319,1,Golden Twilight,366000,The Deadstock 33's,Deadstock 33's,2011,English
5241,251,2,2,MBox24754323-HH,2,The Colin Busby Big Swing Band - St Louis Blues March,231,,Swing Greats,99,English
5242,2729,1,5,12244415,10,"HÃ¡ry JÃ¡nos, opera, Op. 15: Intermezzo",,ZoltÃ¡n KodÃ¡ly,"Karajan Edition: Handel, Vaughan Williams, Ravel, Britten, Sibelius, Debussy, BartÃ³k, Kodaly",1993,English
5243,7305,2,2,MBox26884735-HH,22,Christopher T. McLernon & Ricky G. Sanders - Thunder Bucket,121,,Volume 24: Crunchy Punchy 2,,English
5244,2730,1,3,68504 421MB-01,05,Every Work of Art is an Uncommitted Crime - Minima Moralia,1.417,Brian J. Davis,,'06,English
5245,2731,1,4,33752-A019,7,007-Funkin' for Jamaica,unknown,Tom Browne,Nothin' but a Funk Thang (2004),null,Eng.
5246,2732,1,2,MBox26053720-HH,5,Frank Ricotti & Gary Kettel - Scorched Earth (a),111,,Shapes in Percussion,87,Englissh
5247,9272,3,2,MBox43905325-HH,67,Elal Fitzgerald and Her Savoy Eight - Summertime,297,,101 Best of Jazz,,English
5248,7464,2,4,159359-A014,2,002-,26m 0sec,, 3 / (2000),null,Jap.
5249,2733,1,3,16896322MB-01,19,Tell Me How You Like It - Sweet Home Chicago (disc 3),4.276,Byther Smith,,,English
5250,2734,1,3,42270021MB-01,17,null,,Frank Sinatra,,,English
5251,2735,1,3,4165362MB-01,23,Life Is a Funny Game  - Psyche Pop Girl,2.15,JosÃ© Le GGall & Olivier Cochet,,,English
5252,8716,2,2,MBox5808710-HH,10,Astor Piazzolla - Tapera,205,,De Mi Bandoneon,,null
5253,3140,4,5,8405085,3,KentuckyLament,229826,Tol & Tol,Tol & Tol,,English
5254,2736,1,5,8922884,6,Dedtox,141000,Bazooka,This Is Groovy Indie Heavy?,,English
5255,5613,3,1,WoM6618712,005,Hernandos Hideaway (The Bachelor),02:20,Billy May's Rico Mambo Orchestra,The Bachelor,1999,
5256,2737,1,4,191985-A02,11,011-The Barge,1m 48sec,Rachel Portman,nulll,null,Eng.
5257,2738,1,5,4771110,16,Set Me Free,217506,Jaki Graham,Greatest Eighties Collection,,English
5258,2739,1,1,WoM28832210,008,I See You (AriannAntinoir),03:27,"Arianna_Antinori,_Jean_Charles_Carbone,_Marco_Fasolo,_Ernesttico,_Marco_Pandolfi,_Luca_Moresco_&_Davide_Pezzin",AriannAntinori,2012,
5259,5533,3,5,2824921,4,Hello You,,Scott Andrew and The Walkingbirds,The Sandalwood Sessions,2002,Engl ish
5260,2740,1,2,MBox34464332-HH,7,Micky Manchester - Chamberlain Said,null,,The 70's and 80's Singles,05,English
5261,3583,3,3,8107712MB-01,1,HeaPdhunter,4.511,Krokus,Headhunter,'83,English
5262,2741,1,3,3634742MB-01,8,"Solitary Confinement - 30 Years of Stiff Records, Volume Two",3.91,Members,,'08,English
5263,8813,2,1,WoM14858431,009,Serenade (Haydn) (Light Classics for Listening & Relaxation),02:39,"London Promenade Orchestra, Eric Hammerstein",Light Classics for Listening & Relaxation,1995,
5264,2179,2,3,4138074MB-01,4,Alejandro (Skrillex remix) - Alejandro: The Remixes,5.8,Lady Gaga,,'10,English
5265,2742,1,5,8765888,11,Night Driving,143000,Simon Park,Skettches,,English
5266,2743,1,2,MBox8142416-HH,18,Die Toten Hosen - Niemals einer Meinung,225,,Quote : Niemals einer Meinung,96,German
5267,7041,5,2,MBox8717723-HH,16,V/Vm - M0nE(y) 4 n0THING,355,,HelpAphexTwin 4.0,3,English
5268,6428,2,4,87737-A031,15,015-Somebody's Gotta Do Something,1m 40sec,"Kathy Lee, Jordan Sramek, Tim O'Brien and Prudence Johnson",No Picnic Being Cheese: Songs of Steppingstone Theatre (2007),null,En.
5269,2744,1,5,3882432,1,Evolution Fight,199000,CYNEE,Creating Your New Environment,2995,English
5270,5903,2,3,44803617MB-01,8,Silver Spoon - Living and Growing,,Felt Tips,,'10,English
5271,6201,2,5,1547366,8,Rattler,169053,TheX Seekers,This Is,,English
5272,2745,1,1,WoM3119969,001,Travel (live) (amparo fugaz),03:22,Guts Pie Earshot,amparo fugaz,,
5273,6216,3,1,WoM32670736,004,Feels Like the First Time (Another EP),00:00,WannaBees,Another EP,1993,
5274,2746,1,3,30214817MB-01,7,The Singing Coal Miner - The Unbroken Circle: Songs of the West Virginia Coalfields,0.883,Tom Breiding,,,English
5275,2747,1,4,99799-A054,12,012-Deadline (feat. Christina Soto),5m 1sec,Cramp,Armada at Ibiza: Summer 2008,2008,Eng.
5276,2748,1,5,12713224,11,Lord Pity Us All,190000,Martin Riey,The Heavy Heavy Monster Sound: The Story of Trojan Records,2010,English
5277,8573,2,3,20469921MB-01,6,Here's That Rainy Day - Heavy Sounds,7.033,Elvin Jones & Richard Davis,,'68,English
5278,2749,1,2,MBox1150044-HH,16,Millencolin - Penguins and Polarbears,343,,"2005-04-09: UmeÃ¥, Sweden",,English
5279,4676,2,5,13003365,16,No Warrior,218000,Junior Delgado,King Jammy's Selectors Choice Vol.1,,
5280,3207,3,4,20775-A012,9,009-Kwek kwek kwek,4m 36sec,Herman van Veen,Alfred Jodocus Kwak (1979),null,Dut.
5281,2750,1,5,6618097,22,GetMe Bodied,,BeyoncÃ©,"Sexxxplicit R&B, Volume X25",2007,English
5282,4202,4,4,212620-A069,11,011-Stormy,3m 9sec,Scott Walker,Scott: The Collection 1967-1970 (2013),null,Eng.
5283,9626,4,3,57013122MB-01,|,Î¦Ï‰Î½Î® - Î¦Ï‰Î½Î® Î²Î¿ÏŽÎ½Ï„Î¿Ï‚,,Î§ÏÎ®ÏƒÏ„Î¿Ï‚ Î”Î¬Î½Ï„Î·Ï‚,,'96,Greek
5284,2751,1,2,MBox10766327-HH,7,"Samsas Traum - Blut ist in der Waschmuschel (live, GÃ¶rlitz)",434,,Die Liebe Gottes,05,German
5285,1102,2,1,WoM11871842,005,A Fair Affair (Je T'aime) (More Music 2),04:47,Misty Oldland,More Music 2,,
5286,4012,2,5,1526715,8,Freezing,325160,Fifth Amendment,Fifth Amendment,,English
5287,2752,1,1,WoM6907844,003,Dreamlet (White Earth),00:00,Room Noir,White Earth,,
5288,2753,1,2,MBox3639035-HH,7,"Shoo, Eric, Andy & ShinVi - I Miss You",232,,2002 Winter Vacation in SMTOWN.com,02,English
5289,3583,4,4,26264-A065,1,001-Headhunter,4m 30sec,Krokus,Headhunter (1983),null,Eng.
5290,2754,1,2,MBox2639257-HH,6,Control X - Ambient #1,405,,...to abort transmission,95,English
5291,2755,1,3,2146080MB-01,5,Moskito - Rough and Fast,,Doc Tom,,'94,English
5292,2756,1,4,46622-A045,3,003-Drive Away,3m 10sec,Halfcocked,The Last Star (2001),null,Eng.
5293,7886,2,3,51643720MB-01,10,"The Complete Preludes, Op. 28 - No. 7 in A Major - A Chopin Festival",0.983,FrÃ©dÃ©ric Chopin,,'94,English
5294,2757,1,1,WoM2708308,001,Bonanza (Multiplicitty),null,Anthony Lomas,Multiplicitty,2012,
5295,1138,4,5,11215825,7,Sache que je,381000,Jean-Jacques Goldman,L'intÃ©grale 90-2000,2000,French
5296,2710,3,4,197148-A06,3,003-L'apprendista stregone,4m 3sec,Giorgio Faeltti,Da quando a ora (2A013),null,Ita.
5297,8654,2,5,12533973,A4,Et,115000,Les GarÃ§ons Bouchers,Les GarÃ§ons Bouchers,1987,French
5298,6795,3,5,1823492,9,In a Sentimental Mood (Chico Freeman),683600,The Jazz Messengers,Night Birds,1992,English
5299,2758,1,3,7037356MB-01,11,Rockstar - All tthe Right Reasons,4.309,Nickelback,,'08,English
5300,7289,4,1,WoM14656147,013,Dance of Solitude (Temporal),04:07,Shadrane,Tempral,2008,
5301,2759,1,2,MBox25774513-HH,74,[unknown] - Live-A-Humble,29,,Barber Shop / Hawaii / Spirituals / Hymns,,English
5302,2760,1,3,49941518MB-01,1,Where Do the Children Play? - Tea for the Tillerman,3.883,Cat Stevens,,'11,English
5303,5740,2,2,MBox15887925-HH,4,Michael Stanley Band - He Can't Love You,213,,"You, Me and Dupree",06,English
5304,8752,2,1,WoM11992730,020,So What the Fuss (Number 1's),05:05,Stevie Wonder,Number 1's,2007,
5305,2761,1,1,WoM1726672,015,"Empty Pocket Blues (b) (Music Through the Ages, Part Two: 1900 to 1940)",00:10,Richard Myhill,"Music Through the Ages, Part Two: 1900 to 1940",,
5306,4370,2,4,230015-A043,2,002,1m 24sec,,  (2002),null,unknown
5307,559,2,5,1840447,2,Devenir folle,192933,Erik Arnaud,Comment je vis,2002,French
5308,2444,2,4,108600-A036,19,019-Taste Me,3m 39sec,Deniz Koyu,"Club Sounds, Volume 45 (2008)",null,Eng.
5309,2762,1,4,173964-A049,13,013-O Hindi,2m 56sec,Fred Panopio,Kawawang Cowboy (1994),null,Tag.
5310,2763,1,5,,7,Pocket Damage,,,Outstanding,1902,English
5311,4033,4,1,unk.,010,Anima Mundi (original) (Globetronica 2),00:00,Last Atlant,Globetronica 2,20 09,
5312,2881,3,2,MBox26304519-HH,4,Sharon Redd - In the Name of Love (Hot Trax mix),439,,Can You Handle It,89,English
5313,6430,2,1,WoM13478128,00 7,Santa Virgen Maria (300),03:13,Eisenfunk,300,2009,
5314,2764,1,2,MBox24472733-HH,13,devotchka - I. t. T.,142,,SuperMelodrama,03,English
5315,9665,3,3,7020509MB-01,5,Get Your Money Up - Barbie R&B,3.25,Nicki Minaj feat. Keri Hilson & Keyshia Cole,,'10,English
5316,2765,1,4,154515-A042,5,005-Enthuellet den Gral!,6m 58sec,Richard Wagner,Parsifal (Mariinsky Orchestra & Chorus feat. conductor: Valery Gergiev) (2010),null,Gerr.
5317,7080,4,5,8992239,43,Prohibition Groove,97000,Christof Dejean,Investigation Grooves,,Englsh
5318,3336,3,3,22659016MB-01,9,"Grolli, das Schulwegmonster - Lieder die wie BrÃ¼cken sind",3.383,Rolf Zuckowski,,'02,German
5319,2766,1,3,58854513MB-01,A1,Things You Said,,Sunday Brunch,Things You said,'00,English
5320,4720,3,2,MBox1909031-HH,3,Molly Zenobia - Whirlpool,327,,Wind Chains,01,null
5321,9091,5,5,15538507,12,Angels Guard Thee,310226,Black Dyke Band,The Essential Dyke,1994,English
5322,2767,1,2,MBox13135328-HH,1,KÃ¦tter Kvartet - Mandolinstykker,220,,Live,98,Danish
5323,2842,3,4,174221-A018,4,004-DJ Tecate,6m 6sec,Rollerball,Bathing Music (2000),null,Eng.
5324,2768,1,2,MBox3619242-HH,3,Clint Black - Nothing News,184,,Greatest Hits II,1,English
5325,2769,1,3,24383119MB-01,4,Crush Story - Modern Rock: Early 90's,4.0,Too Much Joy,,,English
5326,2770,1,2,MBox42220214-HH,4,Wintersun - Battle Against Time,423,,Winter sun,06,English
5327,212,2,3,6672467MB-01,18,Tahdon tanssia kanssasi - Uneni kaunein: Parhaat 2005-2011,4.337,Tomi MetsÃ¤keto & Johanna Kurkela,,'11,Finnish
5328,2771,1,5,8650872,9,Built-In Breaking Point,173000,Karcher,Rocco del Schlacko 2004,2004,English
5329,6963,2,3,55583621MB-01,11,Riding Blues (Jockey Blues) - The Chronological Classics: Joe Turner 1947-1948,3.233,Joe Turner with Pete Johnson,,'99,English
5330,5098,3,2,MBox4036615-HH,9,Iron Maiden - Heaven Can Wait,448,,A  Live One,93,English
5331,2772,1,4,192067-A061,3,003-Im Dreaming (Brief.Pastiche remix),5m 30sec,Sinine,Im Dreaming (2012),null,Eng.
5332,4399,2,5,1885788,12,Scream,350573,Johnny Q. Public,Extra-Ordinary,1995,Englash
5333,6604,3,2,MBox11774134-HH,10,Uratsakidogi - ÐœÐ¾Ñ€Ð³Ð°Ð»Ñ‹~Ð°Ð½Ð°Ð»Ñ‹,66,,ZbornikÑŠ,00,Russian
5334,2773,1,4,220970-A037,5,005-Au Noir,3m 54sec,XiBu,Possession (2013),null,Eng.
5335,2774,1,2,MBox2919621-HH,13,Marek Grechuta - Jeszcze poÅ¼yjemy,280,,n.a.,99,Polish
5336,4110,2,1,WoM9551544,007,Ela mia nikita (20 Popular Melodies From Greece and Cyprus),03:41,Savvas Paphiti,20 Popular Melodies From Greece and Cyprus,1994,
5337,2775,1,2,MBox18005018-HH,5,Manuela - KÃ¼sse unter'm Regenbogen,174,,De 100 grootste Schlagers... allertijden,05,English
5338,2776,1,3,874740MB-01,12,Nie wieder Alkohol (live) - Skandal,7.533,Illegal 2001,,'93,German
5339,2777,1,3,43906818MB-01,26,Sweet Nightmare (60 second) - Techno,1.0,Ian Cake & Jo Jamato,,,English
5340,2778,1,5,1698238,8,Gayne: Sabre Dance,145973,Ô±. Ô½Õ¡Õ¹Õ¡Õ¿Ö€ÕµÕ¡Õ¶,Cappuccino,,English
5341,2779,1,2,MBox25224718-HH,1,Kate Nash - Paris,184,,My Best Friend Is You,10,English
5342,2780,1,1,WoM2234004,005,My World Is Empty Without You (Peace & Harmony: The Trojan Anthology),02:44,Heptones,Peace & Harmony: The Trojan Anthology,2004,
5343,5361,4,5,2059434,8,unk,244000,Janie Fricke,30 Years of #1 Hits (disc 15),,English
5344,1360,2,4,148917-A010,30,030-Habibi Wana,0m 30sec,Haitham Al Hamwi,Arabian Fusion (2003),null,Eng.
5345,2781,1,5,2373570,2,Undecided,145040,The Rosneberg Trio,The Col lection,1996,[Multiple languages]
5346,2782,1,2,MBox984299-HH,1,Mike Doughty - Lazybones,244,,"2003-03-0:1 The Brewery, Raleigh, NC, USA",,English
5347,3727,4,2,MBox1072894-HH,6,Alex Parks - Get Out,230,,Honest,05,English
5348,2783,1,5,8018740,3,Bring Back the Love (Spaced Out dub),,Laura Harris,Bring Back the Love,1998,English
5349,4579,4,2,MBox8660621-HH,4,In Reach - The Other Fall of Cambrai,204,,Waterline,,null
5350,2784,1,5,13499303,7,Donâ€™t Blame Me,292133,Coleman Hawkins' All American Four,"Encyclopedia of Jazz, Part 2: Swing Time",,English
5351,2785,1,3,28109421MB-01,6,Chicken C - Chicxulub,4.483,Ahkmed,,,English
5352,2786,1,4,112395-A02,2,002-Running Around,3m 47sec,Machiavel,2005 (unknown),null,Eng.
5353,2787,1,1,WoM14197334,008,Die Katze unter den BÃ¤umen 08 (Das magische Messer (feat. narrator: Rufus Beck)),04:19,Philip sPullman,Das magische Messer (feat. narrator: Rufus Beck),2008,
5354,7404,4,5,7967854,5,"Concert for Harp & Flute, Andantino",584173,Wolfgang Amadeus Mozart,Lily Laskine Joue,,Italian
5355,2788,1,2,MBox32944832-HH,1,Les Garcons - Wohin auch immer, null,,Von uns zu dir,04,German
5356,1066,3,2,MBox34549416-HH,7,Caifanes - MÃ¡tenme porque me muero,217,,Lo esencial del rock en tu idioma,08,Spanish
5357,2789,1,2,MBox18548223-HH,3,Journey - Wheel in the Sky,251,,JÃ¤germeister Rock-Hits der 70er,03,English
5358,2790,1,5,13319918,11,"Die erste Liebe, D. 182",183106,Franz Schubert,"The Hyperion Schubert Edition, Volume 20: An 1815 Schubertiad",1994,German
5359,7600,2,5,1679237,8,Oh Women,214600,Paul_Young,No Parlez,1983,English
5360,4641,4,2,MBox2399707-HH,15,Intermission - Six Days (airplay edit),225,,"Just the Best, Volume 2",94,English
5361,3653,3,4,109018-A017,6,006-Rose,5m 48sec,Renato Zero,Voyeur (1989),null,Ita.
5362,2791,1,4,145086-A044,9,009-Run,6m 40sec,Leona Lewis,The Labyrinth Tour: Live From the O2 (2010),null,Eng.
5363,2792,1,5,15006152,5,The Wishbone,,Bed of Stars,I Fell in Love in the City,2013,English
5364,7925,2,2,MBox15437811-HH,18,Magic Arrows - She's a Light / Iowa,273,,"Little Darla Has a Treat for You, Volume 23",05,English
5365,2793,1,4,195656-A070,5,005-Defragmentes,6m 30sec,Sidilarsen,Reactivation numerique (2006),null,Fre.
5366,2794,1,5,13371485,3,[silence],4000,BUMP OF CHICKEN,firefly,2012,Japanese
5367,2795,1,4,9503-A013,8,008-Letters: A Short Essay,4m 35sec,echolyn,As the World (1995),null,Eng.
5368,8056,2,4,220160-A016,B,00B-Another Crack in the Jaw,2m 48sec,Food for Worms,Don't Wanna Be President / Another Crack in the Jaw (1981),null,Eng.
5369,3100,3,3,3078227MB-01,7,Spirited Land ov Thorns - Eternal Wrath,4.85,Preludium,,,English
5370,2796,1,4,186275-A037,7,007-A Little Bit in Love,2m 28sec,Patty Loveless,The Definitive Collection (unknown),null,Eng.
5371,9418,4,2,MBox1028718-HH,10,"Mark Dufresne - Tonight, Twice",318,,There's a Song in There,,English
5372,2797,1,4,227165-A033,5,005-    ,5m 7sec, ,  (2007),null,Rus.
